大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2163,3OT3P1500K63K2,"¥40,198,000","¥11,999,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2164,3OT3P2000K63K2,"¥53,318,000","¥15,915,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2129,3OT3P20K663K2C,"¥2,611,000","¥779,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2130,3OT3P30K663K2C,"¥2,879,000","¥859,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2139,3OT3P50K663K2C,"¥3,444,000","¥1,028,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2185,3OT3P75K663K2C,"¥4,126,000","¥1,231,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2186,3OT3P100K663K2C,"¥4,855,000","¥1,449,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2187,3OT3P150K663K2C,"¥6,256,000","¥1,867,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2188,3OT3P200K663K2C,"¥7,610,000","¥2,271,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2165,3OT3P300K663K2C,"¥11,192,000","¥3,340,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2166,3OT3P500K663K2C,"¥17,818,000","¥5,318,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2169,3OT3P750K663K2C,"¥22,853,000","¥6,821,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2170,3OT3P1000K663K2C,"¥30,469,000","¥9,095,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2178,3OT3P1500K663K2C,"¥45,938,000","¥13,712,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2182,3OT3P2000K663K2C,"¥60,930,000","¥18,188,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2104,3OT3P20K63K2C,"¥2,506,000","¥748,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2105,3OT3P30K63K2C,"¥2,758,000","¥823,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2106,3OT3P50K63K2C,"¥3,309,000","¥987,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2141,3OT3P75K63K2C,"¥3,951,000","¥1,179,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2142,3OT3P100K63K2C,"¥4,650,000","¥1,388,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2143,3OT3P150K63K2C,"¥5,994,000","¥1,789,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2144,3OT3P200K63K2C,"¥7,299,000","¥2,178,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2183,3OT3P300K63K2C,"¥10,720,000","¥3,200,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2184,3OT3P500K63K2C,"¥17,079,000","¥5,098,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2185,3OT3P750K63K2C,"¥21,901,000","¥6,537,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2186,3OT3P1000K63K2C,"¥29,198,000","¥8,715,600"
